      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.66300000e-01    1.46370198e-01    1.64430897e-06    1.28671682e-07
  -9.66200000e-01    1.46370198e-01    1.64430658e-06    1.28665425e-07
  -9.66100000e-01    1.46370198e-01    1.64430419e-06    1.28659169e-07
  -9.66000000e-01    1.46370198e-01    1.64430180e-06    1.28652913e-07
  -9.65900000e-01    1.46370198e-01    1.64429941e-06    1.28646657e-07
  -9.65800000e-01    1.46370198e-01    1.64429702e-06    1.28640401e-07
  -9.65700000e-01    1.46370198e-01    1.64429463e-06    1.28634145e-07
  -9.65600000e-01    1.46370198e-01    1.64429224e-06    1.28627889e-07
  -9.65500000e-01    1.46370198e-01    1.64428985e-06    1.28621634e-07
  -9.65400000e-01    1.46370198e-01    1.64428746e-06    1.28615378e-07
  -9.65300000e-01    1.46370198e-01    1.64428507e-06    1.28609122e-07
  -9.65200000e-01    1.46370198e-01    1.64428268e-06    1.28602866e-07
  -9.65100000e-01    1.46370198e-01    1.64428029e-06    1.28596610e-07
  -9.65000000e-01    1.46370198e-01    1.64427790e-06    1.28590354e-07
  -9.64900000e-01    1.46370198e-01    1.64427551e-06    1.28584098e-07
  -9.64800000e-01    1.46370198e-01    1.64427312e-06    1.28577843e-07
  -9.64700000e-01    1.46370198e-01    1.64427073e-06    1.28571587e-07
  -9.64600000e-01    1.46370198e-01    1.64426834e-06    1.28565331e-07
  -9.64500000e-01    1.46370198e-01    1.64426595e-06    1.28559076e-07
  -9.64400000e-01    1.46370198e-01    1.64426356e-06    1.28552820e-07
  -9.64300000e-01    1.46370198e-01    1.64426117e-06    1.28546564e-07
  -9.64200000e-01    1.46370198e-01    1.64425878e-06    1.28540309e-07
  -9.64100000e-01    1.46370198e-01    1.64425639e-06    1.28534053e-07
