      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -7.98000000e-02   -6.16414464e-01    1.07930159e-06   -5.55044672e-07
  -7.97000000e-02   -6.16414464e-01    1.07911093e-06   -5.54346786e-07
  -7.96000000e-02   -6.16414463e-01    1.07892043e-06   -5.53648855e-07
  -7.95000000e-02   -6.16414463e-01    1.07873010e-06   -5.52950881e-07
  -7.94000000e-02   -6.16414463e-01    1.07853993e-06   -5.52252863e-07
  -7.93000000e-02   -6.16414463e-01    1.07834992e-06   -5.51554803e-07
  -7.92000000e-02   -6.16414463e-01    1.07816008e-06   -5.50856699e-07
  -7.91000000e-02   -6.16414463e-01    1.07797040e-06   -5.50158553e-07
  -7.90000000e-02   -6.16414463e-01    1.07778089e-06   -5.49460365e-07
  -7.89000000e-02   -6.16414463e-01    1.07759155e-06   -5.48762135e-07
  -7.88000000e-02   -6.16414463e-01    1.07740237e-06   -5.48063864e-07
  -7.87000000e-02   -6.16414462e-01    1.07721335e-06   -5.47365552e-07
  -7.86000000e-02   -6.16414462e-01    1.07702450e-06   -5.46667199e-07
  -7.85000000e-02   -6.16414462e-01    1.07683582e-06   -5.45968805e-07
  -7.84000000e-02   -6.16414462e-01    1.07664731e-06   -5.45270372e-07
  -7.83000000e-02   -6.16414462e-01    1.07645896e-06   -5.44571899e-07
  -7.82000000e-02   -6.16414462e-01    1.07627078e-06   -5.43873387e-07
  -7.81000000e-02   -6.16414462e-01    1.07608276e-06   -5.43174835e-07
  -7.80000000e-02   -6.16414462e-01    1.07589492e-06   -5.42476245e-07
  -7.79000000e-02   -6.16414462e-01    1.07570724e-06   -5.41777616e-07
  -7.78000000e-02   -6.16414462e-01    1.07551973e-06   -5.41078950e-07
  -7.77000000e-02   -6.16414461e-01    1.07533239e-06   -5.40380246e-07
  -7.76000000e-02   -6.16414461e-01    1.07514522e-06   -5.39681504e-07
  -7.75000000e-02   -6.16414461e-01    1.07495822e-06   -5.38982726e-07
  -7.74000000e-02   -6.16414461e-01    1.07477138e-06   -5.38283910e-07
  -7.73000000e-02   -6.16414461e-01    1.07458472e-06   -5.37585059e-07
  -7.72000000e-02   -6.16414461e-01    1.07439823e-06   -5.36886171e-07
  -7.71000000e-02   -6.16414461e-01    1.07421191e-06   -5.36187248e-07
  -7.70000000e-02   -6.16414461e-01    1.07402575e-06   -5.35488289e-07
  -7.69000000e-02   -6.16414461e-01    1.07383977e-06   -5.34789295e-07
  -7.68000000e-02   -6.16414461e-01    1.07365396e-06   -5.34090267e-07
  -7.67000000e-02   -6.16414460e-01    1.07346832e-06   -5.33391204e-07
  -7.66000000e-02   -6.16414460e-01    1.07328286e-06   -5.32692107e-07
  -7.65000000e-02   -6.16414460e-01    1.07309756e-06   -5.31992976e-07
  -7.64000000e-02   -6.16414460e-01    1.07291244e-06   -5.31293812e-07
  -7.63000000e-02   -6.16414460e-01    1.07272749e-06   -5.30594615e-07
  -7.62000000e-02   -6.16414460e-01    1.07254271e-06   -5.29895385e-07
  -7.61000000e-02   -6.16414460e-01    1.07235811e-06   -5.29196122e-07
  -7.60000000e-02   -6.16414460e-01    1.07217367e-06   -5.28496828e-07
  -7.59000000e-02   -6.16414460e-01    1.07198942e-06   -5.27797501e-07
  -7.58000000e-02   -6.16414460e-01    1.07180533e-06   -5.27098143e-07
  -7.57000000e-02   -6.16414459e-01    1.07162142e-06   -5.26398754e-07
  -7.56000000e-02   -6.16414459e-01    1.07143768e-06   -5.25699334e-07
  -7.55000000e-02   -6.16414459e-01    1.07125412e-06   -5.24999883e-07
  -7.54000000e-02   -6.16414459e-01    1.07107074e-06   -5.24300402e-07
  -7.53000000e-02   -6.16414459e-01    1.07088752e-06   -5.23600891e-07
  -7.52000000e-02   -6.16414459e-01    1.07070449e-06   -5.22901350e-07
  -7.51000000e-02   -6.16414459e-01    1.07052163e-06   -5.22201780e-07
  -7.50000000e-02   -6.16414459e-01    1.07033894e-06   -5.21502181e-07
  -7.49000000e-02   -6.16414459e-01    1.07015643e-06   -5.20802554e-07
  -7.48000000e-02   -6.16414458e-01    1.06997410e-06   -5.20102897e-07
  -7.47000000e-02   -6.16414458e-01    1.06979195e-06   -5.19403213e-07
  -7.46000000e-02   -6.16414458e-01    1.06960997e-06   -5.18703501e-07
  -7.45000000e-02   -6.16414458e-01    1.06942816e-06   -5.18003761e-07
  -7.44000000e-02   -6.16414458e-01    1.06924654e-06   -5.17303995e-07
  -7.43000000e-02   -6.16414458e-01    1.06906509e-06   -5.16604201e-07
  -7.42000000e-02   -6.16414458e-01    1.06888382e-06   -5.15904381e-07
  -7.41000000e-02   -6.16414458e-01    1.06870273e-06   -5.15204534e-07
  -7.40000000e-02   -6.16414458e-01    1.06852182e-06   -5.14504662e-07
  -7.39000000e-02   -6.16414458e-01    1.06834109e-06   -5.13804763e-07
  -7.38000000e-02   -6.16414457e-01    1.06816053e-06   -5.13104840e-07
  -7.37000000e-02   -6.16414457e-01    1.06798016e-06   -5.12404891e-07
  -7.36000000e-02   -6.16414457e-01    1.06779996e-06   -5.11704917e-07
  -7.35000000e-02   -6.16414457e-01    1.06761995e-06   -5.11004919e-07
  -7.34000000e-02   -6.16414457e-01    1.06744011e-06   -5.10304897e-07
  -7.33000000e-02   -6.16414457e-01    1.06726045e-06   -5.09604850e-07
  -7.32000000e-02   -6.16414457e-01    1.06708098e-06   -5.08904780e-07
  -7.31000000e-02   -6.16414457e-01    1.06690168e-06   -5.08204687e-07
  -7.30000000e-02   -6.16414457e-01    1.06672257e-06   -5.07504571e-07
  -7.29000000e-02   -6.16414457e-01    1.06654363e-06   -5.06804432e-07
  -7.28000000e-02   -6.16414456e-01    1.06636488e-06   -5.06104270e-07
  -7.27000000e-02   -6.16414456e-01    1.06618631e-06   -5.05404086e-07
  -7.26000000e-02   -6.16414456e-01    1.06600792e-06   -5.04703881e-07
  -7.25000000e-02   -6.16414456e-01    1.06582972e-06   -5.04003653e-07
  -7.24000000e-02   -6.16414456e-01    1.06565170e-06   -5.03303405e-07
  -7.23000000e-02   -6.16414456e-01    1.06547385e-06   -5.02603135e-07
  -7.22000000e-02   -6.16414456e-01    1.06529620e-06   -5.01902844e-07
  -7.21000000e-02   -6.16414456e-01    1.06511872e-06   -5.01202534e-07
  -7.20000000e-02   -6.16414456e-01    1.06494143e-06   -5.00502202e-07
  -7.19000000e-02   -6.16414456e-01    1.06476432e-06   -4.99801851e-07
  -7.18000000e-02   -6.16414455e-01    1.06458740e-06   -4.99101481e-07
  -7.17000000e-02   -6.16414455e-01    1.06441066e-06   -4.98401090e-07
  -7.16000000e-02   -6.16414455e-01    1.06423410e-06   -4.97700681e-07
  -7.15000000e-02   -6.16414455e-01    1.06405773e-06   -4.97000253e-07
  -7.14000000e-02   -6.16414455e-01    1.06388155e-06   -4.96299807e-07
  -7.13000000e-02   -6.16414455e-01    1.06370555e-06   -4.95599342e-07
  -7.12000000e-02   -6.16414455e-01    1.06352973e-06   -4.94898859e-07
  -7.11000000e-02   -6.16414455e-01    1.06335410e-06   -4.94198359e-07
  -7.10000000e-02   -6.16414455e-01    1.06317866e-06   -4.93497841e-07
  -7.09000000e-02   -6.16414454e-01    1.06300340e-06   -4.92797306e-07
  -7.08000000e-02   -6.16414454e-01    1.06282833e-06   -4.92096753e-07
